latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
17.26536,73.84339,313.06,1.01,1.01,2022-01-24,0834,A,34,6.1NRT,299.72,6.31,D
17.26403,73.83391,317.31,1.01,1.01,2022-01-24,0834,A,62,6.1NRT,302.34,10.32,D
17.34878,74.1117,316.07,1.03,1.01,2022-01-24,0834,A,58,6.1NRT,302.31,5.9,D
18.20569,78.6973,312,1.9,1.35,2022-01-24,0834,A,49,6.1NRT,297.49,11.19,D
17.96535,75.77852,323.61,1.21,1.09,2022-01-24,0834,A,73,6.1NRT,302.73,16.24,D
18.00806,75.25365,316.14,1.14,1.06,2022-01-24,0834,A,59,6.1NRT,300.88,8.72,D
18.00666,75.24305,315.3,1.14,1.06,2022-01-24,0834,A,55,6.1NRT,300.41,7.78,D
18.0755,74.70912,315.9,1.08,1.04,2022-01-24,0834,A,61,6.1NRT,300.55,8.28,D
18.55188,77.00031,313.48,1.46,1.19,2022-01-24,0834,A,51,6.1NRT,298.54,9.22,D
18.09821,73.22157,325.19,1,1,2022-01-24,0834,A,77,6.1NRT,300.59,17.61,D
18.09689,73.21223,318.97,1,1,2022-01-24,0834,A,68,6.1NRT,299.11,11.7,D
18.30332,74.43185,318.15,1.06,1.03,2022-01-24,0834,A,66,6.1NRT,303,7.36,D
18.26908,73.19194,349.02,1,1,2022-01-24,0834,A,95,6.1NRT,302.69,54.96,D
18.26776,73.18258,316.96,1,1,2022-01-24,0834,A,65,6.1NRT,301.53,9.28,D
18.33464,73.19413,317.81,1,1,2022-01-24,0834,A,67,6.1NRT,300.56,10.54,D
18.36079,73.31482,353.33,1.01,1,2022-01-24,0834,A,97,6.1NRT,302.19,62.19,D
18.35947,73.30542,317.97,1.01,1,2022-01-24,0834,A,64,6.1NRT,302.19,7.54,D
18.61313,74.748,312.81,1.1,1.04,2022-01-24,0834,A,21,6.1NRT,299.39,3.45,D
18.63531,74.30678,316.1,1.06,1.03,2022-01-24,0834,A,61,6.1NRT,302.02,8.12,D
18.64999,74.07697,334.03,1.04,1.02,2022-01-24,0834,A,85,6.1NRT,303.12,27.35,D
18.64866,74.06721,313.85,1.04,1.02,2022-01-24,0834,A,31,6.1NRT,301.52,4.33,D
18.68962,73.03666,315.13,1,1,2022-01-24,0834,A,0,6.1NRT,304.28,7.58,D
19.30208,76.36512,314.58,1.36,1.15,2022-01-24,0834,A,31,6.1NRT,299.52,8.6,D
19.29921,76.35877,318.17,1.36,1.15,2022-01-24,0834,A,67,6.1NRT,300.2,13.85,D
18.93375,73.33253,316.12,1.01,1,2022-01-24,0834,A,61,6.1NRT,300.83,7.25,D
19.64034,77.62182,312.68,1.67,1.27,2022-01-24,0834,A,56,6.1NRT,299.52,11.4,D
